frame,car_id,bbox,license_plate_bbox,license_plate_text,speed_kmh
10,5.0,"[np.float64(2188.8934255796034), np.float64(1177.7803182136463), np.float64(2792.9925471322244), np.float64(1768.696274134325)]","[2409.127685546875, 1583.3270263671875, 2586.089599609375, 1661.169921875]",,68.65151615975435
10,3.0,"[np.float64(736.5234056254712), np.float64(1399.0683217726396), np.float64(1430.520020082502), np.float64(2031.7887981624617)]","[947.8031616210938, 1789.8218994140625, 1189.42822265625, 1894.6607666015625]",,104.11851302825156
11,5.0,"[np.float64(2192.376491277272), np.float64(1178.2603012236707), np.float64(2801.1658966416926), np.float64(1771.180997420049)]","[2420.077880859375, 1588.7589111328125, 2588.644775390625, 1664.0943603515625]",,129.89733342851392
11,3.0,"[np.float64(731.6587256991529), np.float64(1402.6957909932244), np.float64(1426.5365937494835), np.float64(2037.7143416967756)]","[959.1637573242188, 1796.6422119140625, 1184.0633544921875, 1896.5225830078125]",,140.62787662498337
12,5.0,"[np.float64(2193.0721234883295), np.float64(1172.6503516716075), np.float64(2807.0022534606214), np.float64(1771.3495339835304)]","[2417.7392578125, 1587.926513671875, 2591.132080078125, 1674.018310546875]",,91.81642469547188
12,3.0,"[np.float64(727.547545516521), np.float64(1404.1161204440573), np.float64(1422.2767054521983), np.float64(2041.4148900055666)]","[943.5031127929688, 1802.426513671875, 1187.0267333984375, 1903.083251953125]",NA13NRU,105.9821650553263
13,5.0,"[np.float64(2192.415305599203), np.float64(1169.9565077808365), np.float64(2809.7479712052627), np.float64(1772.3475881731097)]","[2417.90625, 1588.09912109375, 2590.99658203125, 1673.6485595703125]",NO51YSU,29.058233053287744
13,3.0,"[np.float64(726.2982983814899), np.float64(1404.2619893821734), np.float64(1420.7562120184798), np.float64(2043.2459016081161)]","[943.4718017578125, 1802.43310546875, 1187.15625, 1903.107421875]",NA13NRU,36.75098846754366
14,5.0,"[np.float64(2193.6217023429867), np.float64(1176.1720710112413), np.float64(2814.8183012838313), np.float64(1777.3520194317257)]","[2415.3896484375, 1588.543212890625, 2587.59912109375, 1672.47802734375]",MV51VSU,138.84851305356554
14,3.0,"[np.float64(725.9480871565554), np.float64(1407.0737750101207), np.float64(1423.174017016893), np.float64(2052.190634045417)]","[938.2769775390625, 1806.962158203125, 1184.478759765625, 1911.0667724609375]",NA13NRU,128.91900830604172
